domain,brand,tier,programme,prog_url,prog_email,prog_telegram,prog_software,prog_licence,our_email,our_operator,our_licence
13spins.com,13Spins,exact,13aff Partners,https://affcatalog.com/en/aff-program/13aff-partners/,affiliates@13aff.com,https://t.me/affcatalog?product=spsidebartop,MAP,Curacao,,Boom Line B.V.,OGL/2024/599/0274
1bet4win.com,1BET4WIN,exact,1Bet 4Win Partners,https://affcatalog.com/en/aff-program/1bet-4win-partners/,affiliate@1b4w.partners,https://t.me/affcatalog?product=spsidebartop,,,,Media Entertainment N.V.,OGL/2024/1110/0512
1king.com,1KING,exact,Parimatch Affiliates,https://affcatalog.com/en/aff-program/parimatch-partners/,contact@pmaffiliates.com,https://telegram.me/pmaffiliates_channel,In-house,Curacao,,Losartez B.V.,OGL/2024/1441/0693
1xcasino.com,1xCasino,exact,1xCasino Partners,https://affcatalog.com/en/aff-program/1xcasino-partners/,,https://telegram.me/partners_1XC,In-house,Curacao,,Caecus N.V.,OGL/2024/1262/0493
20bet.com,20bet,exact,Playamo Partners,https://affcatalog.com/en/aff-program/playamopartners/,affiliates@playamopartners.com,https://telegram.me/playamo_partners_official,NetRefer,"Curacao, Malta (MGA)",,TechSolutions Group B.V.,OGL/2024/590/0758
20bet.tech,20bet,exact,Playamo Partners,https://affcatalog.com/en/aff-program/playamopartners/,affiliates@playamopartners.com,https://telegram.me/playamo_partners_official,NetRefer,"Curacao, Malta (MGA)",,Innovex B.V.,OGL/2024/1769/1016
21bets.com,21bets,exact,Infinity Stars Partners,https://affcatalog.com/en/aff-program/infinity-stars-partners/,info@infinitystarspartners.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,"Anjouan, Curacao",,Famagousta B.V.,OGL/2023/155/0098
22casino.com,22 Casino,exact,22Bet Partners,https://affcatalog.com/en/aff-program/22bet-partners/,support@22betpartners.com,https://t.me/affcatalog?product=spsidebartop,NetRefer,"Anjouan, Curacao",,Techwave B.V.,OGL/2024/1653/0930
9winz.com,9winz,exact,9Winz Affiliates,https://affcatalog.com/en/aff-program/9winz-affiliates/,aff@9winz.com,https://telegram.me/aff_9winz,In-house,Curacao,,Globis N.V.,OGL/2024/1194/0723
ampm.casino,AMPM,exact,GameGrow Partners,https://affcatalog.com/en/aff-program/gamegrow-partners/,affiliate@gamegrow.partners,https://telegram.me/gamegrow_partners,,Curacao,,3-102-950476 LIMITADA,ALSI-202602013-FI1
artcasino.io,ArtCasino,exact,Memato Group,https://affcatalog.com/en/aff-program/memato-group/,partners@mematogroup.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Curacao,,Wild Blackfin Limited SRL,ALSI-202601043-FI2
batery.in,Batery,exact,Batery Partners,https://affcatalog.com/en/aff-program/batery-partners/,support@baterypartners.com,https://t.me/affcatalog?product=spsidebartop,AffiJet,Curacao,,YouGMedia B.V.,OGL/2024/107/0914
baxterbet.com,BaxterBet,exact,Ruby Affs,https://affcatalog.com/en/aff-program/ruby-affs/,affiliates@rubyaffs.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,Neroblanko Tech N.V.,OGL/2024/790/0272
