domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on,live,http,title,reason,brand_name
apolobet.com,apolobet,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,apolobet.com apolobet.fun,not contacted,,yes,200,The premium domain name apolobet.com is for sale. Buy it now!,,
azar365.com,azar,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,azar365.com azar777.com,not contacted,,yes,200,,,
betjuve.com,betjuve,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,betjuve.com betjuve50.com,not contacted,,yes,200,Betjuve,,Betjuve
neredebahis.com,neredebahis,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,neredebahis.com neredebahis98.com,not contacted,,yes,200,Neredebahis - Güncel Giriş Adresi,,Neredebahis
tricobet.io,tricobet,1,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,tricobet.io tricobet.com,not contacted,,yes,200,TricoBET — Casino,,TricoBET
1x2bet.co,xbet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,1x2bet.co,not contacted,,yes,200,1X2BET.CO - Bienvenidos,,1X2BET.CO
8bet.co.sz,co,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,8bet.co.sz,not contacted,,yes,200,"Play crash games, sports betting and more | 8Bet Eswatini",,
apuestalos.com,apuestalos,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,apuestalos.com,not contacted,,yes,200,APUESTALOS,,APUESTALOS
apuestaswin.com,apuestaswin,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,apuestaswin.com,not contacted,,yes,200,"ApuestasWin | Deportes, Casino y más",,ApuestasWin
astrobet.ec,astrobet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,astrobet.ec,not contacted,,yes,200,,,
bet593.online,bet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,bet593.online,not contacted,,yes,200,Pronósticos deportivos | Juegos Online | bet593.ec,URLError,Pronósticos deportivos
betplatino.co,betplatino,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,betplatino.co,not contacted,,yes,200,Betplatino,,Betplatino
betpro.hn,betpro,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,betpro.hn,not contacted,,yes,200,Betpro Honduras | Apuestas Deportivas y Casino en Línea,,Betpro Honduras
brmegas.com,brmegas,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,brmegas.com,not contacted,,yes,200,,,
bwise365.com,bwise,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,bwise365.com,not contacted,,yes,200,Bwise365 Sportsbook,,Bwise365 Sportsbook
casinoencasa.com,casinoencasa,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,casinoencasa.com,not contacted,,yes,200,CasinoEnCasa,,CasinoEnCasa
extrabet.games,extrabet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,extrabet.games,not contacted,,yes,200,,,
fixplay.pe,fixplay,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,fixplay.pe,not contacted,,yes,200,Betting website,,Betting website
galeribet.com,galeribet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,galeribet.com,not contacted,,yes,200,Galeribet,,Galeribet
golbetting.com,golbetting,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,golbetting.com,not contacted,,yes,200,Golbet - Rakipsiz Online Bahis Sitesi,,Golbet
juegaconelking.com,juegaconelking,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,juegaconelking.com,not contacted,,yes,200,JUEGA CON EL KING – el mejor casino online de chile- el casino de arturo vidal,,JUEGA CON EL KING
kongocash.com,kongocash,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,kongocash.com,not contacted,,yes,200,Ingreso,,Ingreso
listobet.com,listobet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,listobet.com,not contacted,,yes,200,listobet.com,,listobet.com
lotbet.vip,lotbet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,lotbet.vip,not contacted,,yes,200,Lotbet Guatemala | Apuestas deportivas y casino online,,Lotbet Guatemala
loterianacional.ec,loterianacional,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,loterianacional.ec,not contacted,,yes,200,Loteria Nacional,,Loteria Nacional
mas1x2.com,masx,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,mas1x2.com,not contacted,,yes,200,"Mas1x2 | Pronósticos deportivos, tragamonedas y casino online en Ecuador",,Mas1x2
masterbets365.com,masterbets,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,masterbets365.com,not contacted,,yes,200,Top Centro de Apuestas Deportivas Online en toda Latinoamerica,,
petra.bet,petra,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,petra.bet,not contacted,,yes,200,Jordan's #1 Online Casino & Sports Betting - Petra.bet,,
playred.com,playred,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,playred.com,not contacted,,yes,200,Playred Casino Lobby,,Playred Casino Lobby
slotrix.net,slotrix,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,slotrix.net,not contacted,,yes,200,slotrix,,slotrix
yinyangbet.com,yinyangbet,0,Trickless N.V,OGL/2024/139/0125,Curacao,assessment in progress,"December 24, 2025",no,yinyangbet.com,not contacted,,yes,200,Bienvenidos a YinYangBet.com,,Bienvenidos a YinYangBet.com
rocketrichescasino.com,rocketrichescasino,1,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,rocketrichescasino.com rocketriches-casino.in,not contacted,,yes,200,,,
bigboost-in.com,bigboostin,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,bigboost-in.com,not contacted,,yes,200,,,
bigboost.com,bigboost,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,bigboost.com,not contacted,,yes,200,,,
bigjeeto.com,bigjeeto,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,bigjeeto.com,not contacted,,yes,200,CloudFront Test,,CloudFront Test
biglucky-in.com,bigluckyin,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,biglucky-in.com,not contacted,,yes,200,,,
biglucky.com,biglucky,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,biglucky.com,not contacted,,yes,200,,,
