domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on
casinojoy.com,casinojoy,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,casinojoy.com casinojoy.cash casinojoy.casino,not contacted,
crixcasino.com,crixcasino,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,crixcasino.com crixcasino.win crixcasino72.co,not contacted,
dionyx.co,dionyx,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,dionyx.co dionyx.win dionyx99.co,not contacted,
kairosbet.io,kairosbet,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,kairosbet.io kairosbet.co kairosbet90.co,not contacted,
nikaspin.com,nikaspin,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,nikaspin.com nikaspin.pro nikaspin80.co,not contacted,
olymposwin.io,olymposwin,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,olymposwin.io olymposwin.com olymposwin10.co,not contacted,
richville.com,richville,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,richville.com richville1.com richville2.com,not contacted,
rollino.co,rollino,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,rollino.co rollino.com rollino.world,not contacted,
spartibet.io,spartibet,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spartibet.io spartibet.com spartibet25.co,not contacted,
spinfyre.io,spinfyre,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spinfyre.io spinfyre.com spinfyre93.co,not contacted,
spinko.me,spinko,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,spinko.me spinko.co spinko24.co,not contacted,
velwins.com,velwins,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,velwins.com velwins.pro velwins92.co,not contacted,
vibespins.com,vibespins,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,vibespins.com vibespins.club vibespins100.co,not contacted,
winserra.com,winserra,2,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,winserra.com winserra.pro winserra72.co,not contacted,
betify.com,betify,1,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,betify.com betify.casa,not contacted,
casikora.io,casikora,1,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,casikora.io casikora.com,not contacted,
casinozer.com,casinozer,1,Fortuna Games N.V.,OGL/2024/112/0974,Curacao,assessment in progress,"December 24, 2025",no,casinozer.com casinozer.casa,not contacted,
