licence,token,company,type,company_reg,issued,expires,revoked_on,status
OGL/2024/251/0130,130,Geeker Technology N.V.,B2C,156493,"February 28, 2026","August 28, 2026",,active
OGL/2024/1274/0819,819,Anden Online N.V.,B2C,138316,"February 27, 2026","August 27, 2026",,active
OGL/2024/2287/1195,1195,JetTon Games B.V.,B2C,168122,"February 26, 2026","August 26, 2026",,active
OGL/2024/1382/0969,969,WUNGroup B.V.,B2C,160576,"February 22, 2026","August 22, 2026",,active
OGL/2024/535/0922,922,Opo-Net N.V.,B2C,157050,"February 22, 2026","August 22, 2026",,active
OGL/2024/1261/0718,718,978 Tech N.V.,B2C,156923,"February 22, 2026","August 22, 2026",,active
OGL/2024/689/0696,696,Great Star N.V.,B2C,122623,"February 22, 2026","August 22, 2026",,active
OGL/2024/1054/0509,509,Forwell Investments B.V.,B2C,136125,"February 21, 2026","August 21, 2026",,active
OGL/2024/545/0588,588,Violet Fortune Tech Limited N.V.,B2C,158923,"February 21, 2026","August 21, 2026",,active
OGL/2024/216/0606,606,AE Group B.V.,B2C,143574,"February 21, 2026","August 21, 2026",,active
OGL/2024/1303/1172,1172,Meta Bliss Group B.V.,B2C,159718,"February 20, 2026","August 20, 2026",,active
OGL/2024/922/0638,638,W&C N.V.,B2C,145637,"February 19, 2026","August 19, 2026",,active
OGL/2024/1370/0893,893,Pexcellent Services Ltd B.V.,B2C,163042,"February 19, 2026","August 19, 2026",,active
OGL/2024/1592/0901,901,Get Zapped Gaming N.V.,B2C,166344,"February 19, 2026","August 19, 2026",,active
OGL/2024/2327/1196,1196,Softclub N.V.,B2C,154530,"February 14, 2026","August 14, 2026",,active
OGL/2024/1135/0484,484,Windward Circle B.V.,B2C,150466,"February 14, 2026","August 14, 2026",,active
OGL/2024/368/0697,697,Innova Hub B.V.,B2C,161538,"February 13, 2026","August 13, 2026",,active
OGL/2024/1336/1047,1047,MuchGaming B.V.,B2C,153126,"February 13, 2026","August 13, 2026",,active
OGL/2024/221/0534,534,Inovaplay B.V.,B2C,160168,"February 12, 2026","August 12, 2026",,active
OGL/2024/194/0642,642,Faro Entertainment N.V.,B2C,139031,"February 12, 2026","August 12, 2026",,active
OGL/2024/1698/0936,936,MCG Technologies N.V.,B2C,166630,"February 12, 2026","August 12, 2026",,active
OGL/2024/1723/0940,940,Island Lukkly B.V.,B2C,166711,"February 12, 2026","August 12, 2026",,active
OGL/2024/1844/1064,1064,Parker B.V.,B2C,167263,"February 12, 2026","August 12, 2026",,active
OGL/2024/1060/0472,472,Atlantic Management B.V.,B2C,139089,"February 12, 2026","August 12, 2026",,active
OGL/2024/1381/0615,615,Slotbox N.V.,B2C,155357,"February 12, 2026","August 12, 2026",,active
OGL/2024/420/0675,675,Final Enterprises N.V.,B2C,137397,"February 8, 2026","August 8, 2026",,active
OGL/2024/1367/1045,1045,Riviera Entertainment N.V.,B2C,156650,"February 4, 2026","August 4, 2026",,active
OGL/2024/296/1093,1093,Game2Net B.V.,B2C,163111,"February 2, 2026","August 2, 2026",,active
OGL/2024/1539/0808,808,Come On Curacao N.V.,B2C,118819,"February 2, 2026","August 2, 2026",,active
OGL/2024/2354/1208,1208,Balkan International B.V.,B2B,165051,"February 1, 2026","August 1, 2026",,active
OGL/2024/1349/0997,997,Yentel Investments B.V.,B2C,155915,"February 1, 2026","August 1, 2026",,active
OGL/2024/1110/0512,512,Media Entertainment N.V.,B2C,108625,"February 1, 2026","August 1, 2026",,active
OGL/2024/799/0255,255,Trivico B.V.,B2C,166069,"January 31, 2026","July 31, 2026",,active
OGL/2024/1494/0942,942,Universe B Games B.V.,B2C,155126,"January 31, 2026","July 31, 2026",,active
