source,tier,domain,brand,email,email_source,operator,licence,licence_status,expiry,confidence,flag,status,contacted_on,recheck_verdict,recheck_live,recheck_http,recheck_title,recheck_reason,recheck_date
anjouan,A,zlot.com,Zlot,marketing@zlot.com,contact page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Zlot - Zlot Giriş,,2026-08-14
anjouan,A,bet10bet.com,Bet10bet,info@bet10bet.com,affiliate page,Riotorto Digital LTD,ALSI-202601035-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Bet10bet | Avrupa Devi Bet10Bet Resmi Türkiye Partneri - Güvenli ve Hızlı Site,,2026-08-14
anjouan,A,pk8.com,Poker King,rakesh.sharma@a5labs.co,contact page,High Gaming IT Services Limited,ALSI-202603023-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Poker King,,2026-08-14
anjouan,A,yasalbahis.com,Yasalbahis,info@yasalbahis.com,affiliate page,Nowplatform Ltd.,ALSI-202509021-Fll,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Yasalbahis,,2026-08-14
anjouan,A,narniumcasino.com,NarniumCasino,support@narniumcasino.com,contact page,Narnium Solutions Ltd,ALSI-202511055-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"NarniumCasino - Bitcoin Casino Quest | 100% Bonus, No KYC",,2026-08-14
anjouan,A,narniaslots.com,NarniaSlots,support@narniaslots.com,contact page,Narnium Solutions Ltd,ALSI-202511055-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,NarniaSlots - Magical Casino | 100 Freespins & 100% Bonus,,2026-08-14
anjouan,A,narniumslots.com,NarniumSlots,support@narniumslots.com,contact page,Narnium Solutions Ltd,ALSI-202511055-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"NarniumSlots - Epic Slots Adventure | 20,000+ Games & No KYC",,2026-08-14
anjouan,A,fatbets.com,Gamdom,support@gamdom.com,affiliate page,Fatbets Ltd,ALSI-202508054-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Gamdom - Top Bitcoin & Crypto Casino!,,2026-08-14
anjouan,A,raize.poker,RAIZE,hey@raize.poker,contact page,3-102-943085 SRL,ALSI-202511038-FI2,,2026-11-30,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"RAIZE — Live Dealer Online Poker | Real Dealers, Real Players",,2026-08-14
anjouan,B,ligobet.com,Ligobet,marketing@ligobet.com,affiliate page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Ligobet,,2026-08-14
