recipient_domain,verdict,detail,mail_server,addresses,address_count,brands
10x.win,accepts mail,1 mail server(s),mail.10x.win,support@10x.win,1,Home 10xwin
13aff.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@13aff.com,1,13Spins | Gangsta Online Casino
1b4w.partners,accepts mail,5 mail server(s),eforward3.registrar-servers.com,affiliate@1b4w.partners,1,betwin
1xcasino.com,accepts mail,5 mail server(s),aspmx.l.google.com,info@1xcasino.com support-en@1xcasino.com,2,xcasinoar | xcasinoasia | xcasinobangladesh | xcasinokr
22betpartners.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@22betpartners.com,1,casino | betlabel | Safecasino
22bit.com,accepts mail,1 mail server(s),smtp.google.com,support-en@22bit.com,1,bit
369wins.com,accepts mail,1 mail server(s),mail.369wins.com,support@369wins.com,1,369Wins
380.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@380.partners,1,ᐈ Boomzino
3rdwaveaffiliates.com,accepts mail,5 mail server(s),aspmx.l.google.com,partners@3rdwaveaffiliates.com,1,Metaspins Welcome offer is
7k.partners,accepts mail,9 mail server(s),aspmx.l.google.com,info@7k.partners,1,Bet7k
7ladies.com,accepts mail,5 mail server(s),smtp.google.com,affiliates@7ladies.com,1,ᐈ Felixspin | ᐈ Casino Online and Mobile
7spin.com,accepts mail,1 mail server(s),smtp.google.com,service@7spin.com,1,7SPIN
8bmf8.com,accepts mail,1 mail server(s),smtp.google.com,support@8bmf8.com,1,Games Lobby
9winz.com,accepts mail,5 mail server(s),aspmx.l.google.com,aff@9winz.com,1,winz
a360.bet,accepts mail,1 mail server(s),smtp.google.com,support-en@a360.bet,1,a
a5labs.co,accepts mail,6 mail server(s),aspmx.l.google.com,rakesh.sharma@a5labs.co,1,Poker King
affarea.com,accepts mail,3 mail server(s),sendercow.com,affiliate@affarea.com,1,Online Casino
affgems.com,accepts mail,1 mail server(s),smtp.google.com,affiliates@affgems.com,1,ᐈ Rolldorado
affiliatecapital.com,accepts mail,1 mail server(s),7etjtgr9qc8m.mail-manager-smtp.eu-central-1.on.aws,support@affiliatecapital.com,1,Slotastic
affiliates-paradise.com,accepts mail,2 mail server(s),mail.affiliates-paradise.com,affiliates@affiliates-paradise.com,1,Weezybet
affiliateslots.com,accepts mail,7 mail server(s),aspmx.l.google.com,info@affiliateslots.com,1,America 777
affilistars.com,accepts mail,1 mail server(s),affilistars-com.mail.protection.outlook.com,support@affilistars.com,1,Casino Midas
affpartnergroup.com,accepts mail,3 mail server(s),mx10.antispam.mailspamprotection.com,info@affpartnergroup.com,1,vegazcasino
affshares.com,accepts mail,1 mail server(s),affshares-com.mail.protection.outlook.com,support@affshares.com,1,Gomblingo Casino
affter.com,accepts mail,1 mail server(s),smtp.google.com,support@affter.com,1,Parimatch Casino
afkspin.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@afkspin.com,1,ᐈ AFKspin
africa-bizbet.com,accepts mail,1 mail server(s),smtp.google.com,support-en@africa-bizbet.com,1,BizBet Africa
afrislots.net,accepts mail,5 mail server(s),eforward3.registrar-servers.com,legal@afrislots.net,1,AfriSlots
air1bet.com,"accepts (A record, no MX)",5.182.208.156,,support@air1bet.com,1,air1bet
aldex.com,"accepts (A record, no MX)",170.33.12.185,,support@aldex.com,1,Aldex Win
angelspin.com,accepts mail,1 mail server(s),smtp.google.com,support@angelspin.com,1,Angelspin
anonymous-casino.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliate@anonymous-casino.com,1,Anonymous Casino
appleicasino.com,accepts mail,2 mail server(s),in1-smtp.messagingengine.com,playersupport@appleicasino.com,1,AppleiCasino
apuesto.com,accepts mail,1 mail server(s),services.chacrunamarketing.com,soporte@apuesto.com,1,apuesto
arba777.com,accepts mail,1 mail server(s),smtp.google.com,support@arba777.com,1,Arba777
arcanebet.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@arcanebet.com,1,casinovibes
arena.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@arena.com,1,Metawin
aryanbet.com,accepts mail,5 mail server(s),smtp.google.com,info@aryanbet.com,1,Aryanbet
atlantivegassupport.com,accepts mail,1 mail server(s),smtp.google.com,support@atlantivegassupport.com,1,Atlantivegas
avocasino.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@avocasino.com,1,Avo Casino
baltent.com,accepts mail,6 mail server(s),smtp.google.com,partners@baltent.com,1,Hello There!
batcasino.bet,accepts mail,1 mail server(s),smtp.google.com,support@batcasino.bet,1,Batcasino
baterypartners.com,accepts mail,1 mail server(s),emx.mail.ru,support@baterypartners.com,1,batery | baterybet
bayspin.com,accepts mail,4 mail server(s),in1-smtp.messagingengine.com,marketing@bayspin.com,1,Bayspin
beastone.co,accepts mail,5 mail server(s),aspmx.l.google.com,general@beastone.co,1,Beastone
bet-40.vip,accepts mail,1 mail server(s),smtp.google.com,support@bet-40.vip,1,bet
bet-ibc.com,accepts mail,2 mail server(s),betibc-com0i.mail.protection.outlook.com,support@bet-ibc.com,1,betibc
bet10bet.com,accepts mail,1 mail server(s),bet10bet.emailzones.com,info@bet10bet.com,1,Bet10bet
bet808.com,accepts mail,1 mail server(s),mail.bet808.com,support@bet808.com,1,Bet808
betbabaaffiliates.com,accepts mail,1 mail server(s),smtp.google.com,partners@betbabaaffiliates.com,1,Betbaba
betbanksy.com,accepts mail,3 mail server(s),mx.zoho.eu,affiliate@betbanksy.com,1,Betbanksy
betbeto.com,accepts mail,2 mail server(s),mx1.privateemail.com,support@betbeto.com,1,Betbeto
betet77.com,accepts mail,1 mail server(s),mail.betet77.com,support@betet77.com,1,Sports
betfal.com,accepts mail,1 mail server(s),mail.betfal.com,info@betfal.com,1,Home
betflash24.com,accepts mail,1 mail server(s),betflash24-com.mail.protection.outlook.com,info@betflash24.com,1,betflash
betfriday.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@betfriday.com,1,BetFriday
betfury.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliate@betfury.com,1,Bet Fury Casino
betida.com,accepts mail,1 mail server(s),mail.betida.com,partner@betida.com,1,BETIDA
betitor.com,accepts mail,1 mail server(s),smtp.google.com,support@betitor.com,1,Betitor
betivoaffiliates.com,accepts mail,1 mail server(s),smtp.google.com,partners@betivoaffiliates.com,1,Betivo
betjuve.com,accepts mail,2 mail server(s),smtp.google.com,destek@betjuve.com,1,Betjuve
betkudos.com,accepts mail,1 mail server(s),smtp.google.com,partners@betkudos.com,1,Bet Kudos
betlike.com,accepts mail,1 mail server(s),pmg.mategailway.com,support@betlike.com,1,Betlike
betmartini.com,accepts mail,1 mail server(s),mail.betmartini.com,affiliates@betmartini.com,1,Scommesse online e scommesse da casinò
betmenaffiliates.com,accepts mail,5 mail server(s),aspmx.l.google.com,hello@betmenaffiliates.com,1,ᐈ Vincispin
betmexico.mx,accepts mail,5 mail server(s),aspmx.l.google.com,partners@betmexico.mx,1,Betmexico
betmonks.com,accepts mail,1 mail server(s),smtp.google.com,support@betmonks.com,1,Betmonks
betnella.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@betnella.com,1,ᐈ Betnella
betongame.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@betongame.partners,1,betongame
betorspin.com,accepts mail,2 mail server(s),in1-smtp.messagingengine.com,affiliates@betorspin.com,1,Betorspin global
betpari.com,accepts mail,5 mail server(s),aspmx.l.google.com,support-tr@betpari.com,1,betpari
betphoenix.ag,accepts mail,1 mail server(s),mail.betphoenix.ag,promoters@betphoenix.ag,1,Betphoenix
betpir.com,accepts mail,2 mail server(s),mx1.privateemail.com,affiliate@betpir.com,1,Betpir
betsala.com,accepts mail,5 mail server(s),aspmx.l.google.com,soporte@betsala.com,1,betsala
betsamuro.com,accepts mail,3 mail server(s),smtp.google.com,support@betsamuro.com,1,ᐈ Betsamuro
betsmove.com,accepts mail,1 mail server(s),mx.yandex.net,support@betsmove.com,1,Betsmove
betssen.com,accepts mail,6 mail server(s),aspmx.l.google.com,partners@betssen.com,1,BETSSEN
betti1.com,accepts mail,6 mail server(s),aspmx.l.google.com,support@betti1.com,1,Sportsbook & Casino Online
betticket.com,accepts mail,1 mail server(s),pmg.mategailway.com,support@betticket.com,1,Betticket
bettogames.com,accepts mail,1 mail server(s),smtp.google.com,support@bettogames.com,1,Bettogames
betturkey.com,accepts mail,2 mail server(s),in1-smtp.messagingengine.com,marketing@betturkey.com,1,Betturkey
betwinneraffiliates.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@betwinneraffiliates.com,1,BetWinner | betwinner
betwiz.com,"accepts (A record, no MX)",3.174.230.48,,info@betwiz.com,1,betwiz
betzillocasino.com,accepts mail,7 mail server(s),eforward2.registrar-servers.com,info@betzillocasino.com,1,Online Casino for Real Money
bhaicasino.com,accepts mail,1 mail server(s),bhaicasino-com.mail.protection.outlook.com,support@bhaicasino.com,1,BhaiCasino
bitsler.com,accepts mail,2 mail server(s),bitsler-com.mail.protection.outlook.com,partners@bitsler.com,1,Crypto Casino & Sportsbook
bitstarz.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@bitstarz.com,1,Bitcoin Casino
bitzamo-casino.org,accepts mail,1 mail server(s),inbound-smtp.eu-west-1.amazonaws.com,support@bitzamo-casino.org,1,bitzamocasino
bizbet-biz.com,accepts mail,1 mail server(s),smtp.google.com,support-en@bizbet-biz.com,1,Bizbet Biz
bizbet.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@bizbet.partners,1,Bizbet
blaze.com,accepts mail,5 mail server(s),aspmx.l.google.com,partners@blaze.com,1,Blaze
blazeaffiliates.com,accepts mail,1 mail server(s),smtp.google.com,partners@blazeaffiliates.com,1,Blaze Spins Casino
blitz-casino.biz,accepts mail,1 mail server(s),inbound-smtp.eu-west-1.amazonaws.com,support@blitz-casino.biz,1,blitzcasino
blitzaffiliates.com,unknown,lookup failed: ESERVFAIL,,info@blitzaffiliates.com,1,Casino Bello
blockdag.co,accepts mail,5 mail server(s),aspmx.l.google.com,commercials@blockdag.co,1,BlockDAG
bluebetz.com,accepts mail,1 mail server(s),bluebetz-com.mail.protection.outlook.com,support@bluebetz.com,1,Bluebetz
bluechip.partners,accepts mail,5 mail server(s),aspmx.l.google.com,hello@bluechip.partners,1,Bluechip Casino
bolt-casino.com,accepts mail,5 mail server(s),aspmx.l.google.com,contact@bolt-casino.com,1,Bolt
bonkersbet.com,accepts mail,1 mail server(s),bonkersbet-com.mail.protection.outlook.com,support@bonkersbet.com,1,BonkersBet.com
bons.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@bons.partners,1,Region restrictions
boostwin.com,accepts mail,1 mail server(s),smtp.google.com,support@boostwin.com,1,BoostWin
booty.casino,accepts mail,1 mail server(s),smtp.google.com,support@booty.casino,1,Booty
bounty-casino.info,accepts mail,1 mail server(s),inbound-smtp.eu-west-1.amazonaws.com,support@bounty-casino.info,1,bountycasino
bovbet.com,accepts mail,1 mail server(s),bovbet-com.mail.protection.outlook.com,support@bovbet.com,1,Bovbet Resmi Giriş
brillx-casino.com,accepts mail,1 mail server(s),inbound-smtp.eu-west-1.amazonaws.com,support@brillx-casino.com,1,brillxcasino
brofist.partners,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@brofist.partners,1,dazard
bumbet.com,accepts mail,2 mail server(s),de-smtp-inbound-1.mimecast.com,suporte@bumbet.com,1,bumbet
candyspinz.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@candyspinz.com,1,ᐈ Candyspinz
caponetwork.com,accepts mail,1 mail server(s),smtp.google.com,affiliates@caponetwork.com,1,ᐈ Capospin
case-battle.com,accepts mail,2 mail server(s),mx2.privateemail.com,support@case-battle.com,1,Case
casimba-affiliates.com,accepts mail,1 mail server(s),casimbaaffiliates-com01i.mail.protection.outlook.com,info@casimba-affiliates.com,1,SPINNI Casino
casinityx.com,accepts mail,1 mail server(s),smtp.google.com,support@casinityx.com,1,casinityx
casino007.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliate@casino007.com,1,Casino007
casinocrypto.io,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@casinocrypto.io,1,CasinoCrypto
casinoglory.com,"accepts (A record, no MX)",188.114.96.3,,support@casinoglory.com,1,Casino Glory
casinokhajana.com,accepts mail,1 mail server(s),smtp.google.com,support@casinokhajana.com,1,casinokhajana
casinolevant.com,accepts mail,2 mail server(s),smtp.google.com,info@casinolevant.com,1,Casinolevant Güncel Giriş Adresi 2026
casinonavy.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@casinonavy.com,1,Homepage
casinosecretgroup.com,accepts mail,1 mail server(s),casinosecretgroup-com.mail.protection.outlook.com,affiliates@casinosecretgroup.com,1,CasinoSecret
casiworx.partners,accepts mail,1 mail server(s),mail.casiworx.partners,affiliates@casiworx.partners,1,norsewin
casoo.com,accepts mail,5 mail server(s),aspmx.l.google.com,help@casoo.com,1,Casoo Casino
castle.com,accepts mail,5 mail server(s),aspmx.l.google.com,partners@castle.com,1,Castle
cat2bet.com,accepts mail,5 mail server(s),aspmx.l.google.com,sac@cat2bet.com,1,Cat2Bet
celtabet.com,accepts mail,2 mail server(s),mail.protonmail.ch,destek@celtabet.com,1,Celtabet Türkiye
chinchinpartners.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@chinchinpartners.com,1,ᐈ Honeybetz | ᐈ Liraspin | ᐈ Spinsahara
cloudbet.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@cloudbet.com,1,Cloudbet
clubaffiliates.com,accepts mail,2 mail server(s),smtp.google.com,partners@clubaffiliates.com,1,Place.bet Partners
cocobet.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliate@cocobet.com,1,cocobet
coinbets777.com,accepts mail,2 mail server(s),mail.casinocontroller.com,affiliates@coinbets777.com,1,Coinbets
coldbet.partners,accepts mail,1 mail server(s),smtp.google.com,support@coldbet.partners,1,coldbet
combopartners.online,WILL BOUNCE,domain does not exist,,affiliates@combopartners.online,1,CryptoBoss
cooked.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@cooked.com,1,Cooked
coolaff.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@coolaff.com,1,ᐈ Magneticslots
corgipartners.com,accepts mail,1 mail server(s),,affiliate@corgipartners.com,1,CorgiSlot
cosmoracasinos.com,accepts mail,1 mail server(s),cosmoracasinos-com.mail.protection.outlook.com,support@cosmoracasinos.com,1,Cosmoracasinos
cowboyspin.com,accepts mail,7 mail server(s),smtp.google.com,support@cowboyspin.com,1,ᐈ Cowboyspin
cwinz.com,accepts mail,1 mail server(s),cwinz-com.mail.protection.outlook.com,support@cwinz.com,1,Cwinz
deeplogic.partners,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@deeplogic.partners,1,Spin Fever Casino
degen.com,accepts mail,3 mail server(s),mx.zoho.eu,support@degen.com,1,Degen
degencity.com,accepts mail,1 mail server(s),smtp.google.com,support@degencity.com,1,DegenCity
dicebet.com,accepts mail,1 mail server(s),inbound-smtp.eu-west-1.amazonaws.com,partners@dicebet.com,1,Dicebet
dicey.com,accepts mail,2 mail server(s),mxb.global.inbound.cf-emailsecurity.net,contact@dicey.com,1,Play
dixy.com,accepts mail,5 mail server(s),ckrrqki32.mx.service.one,support@dixy.com,1,Best CSGO Gaming Site
dodobetglobal.com,accepts mail,5 mail server(s),aspmx.l.google.com,marketing@dodobetglobal.com,1,Dodobet global
dodonpartners.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@dodonpartners.com,1,カジノジャンボリー リアルカジノ感覚、高速出金のオンラインカジノ | ジパングカジノ｜24時間日本語サポートのオンラインカジノ
dolfwin.com,accepts mail,1 mail server(s),dolfwin-com.mail.protection.outlook.com,affiliates@dolfwin.com,1,Dolf Win Casino
dragoon.dev,accepts mail,5 mail server(s),eforward2.registrar-servers.com,support@dragoon.dev,1,Vegasking
