source,tier,domain,brand,email,email_source,operator,licence,licence_status,expiry,confidence,flag,status,contacted_on
anjouan,A,zlot.com,Zlot,marketing@zlot.com,contact page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,bet10bet.com,Bet10bet,info@bet10bet.com,affiliate page,Riotorto Digital LTD,ALSI-202601035-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,pk8.com,Poker King,rakesh.sharma@a5labs.co,contact page,High Gaming IT Services Limited,ALSI-202603023-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,yasalbahis.com,Yasalbahis,info@yasalbahis.com,affiliate page,Nowplatform Ltd.,ALSI-202509021-Fll,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,narniumcasino.com,NarniumCasino,support@narniumcasino.com,contact page,Narnium Solutions Ltd,ALSI-202511055-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,narniaslots.com,NarniaSlots,support@narniaslots.com,contact page,Narnium Solutions Ltd,ALSI-202511055-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,narniumslots.com,NarniumSlots,support@narniumslots.com,contact page,Narnium Solutions Ltd,ALSI-202511055-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,fatbets.com,Gamdom,support@gamdom.com,affiliate page,Fatbets Ltd,ALSI-202508054-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,raize.poker,RAIZE,hey@raize.poker,contact page,3-102-943085 SRL,ALSI-202511038-FI2,,2026-11-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,ligobet.com,Ligobet,marketing@ligobet.com,affiliate page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,starzbet.com,Starzbet,winwith@infernopartners.com,affiliate page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,dodobet.com,Dodobet global,marketing@dodobetglobal.com,affiliate page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,matadorbet.com,Matadorbet,destek@matadorbet.com,contact page,Galactic Infinity Ltd,ALSI-202511048-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,zbahis.com,Zbahis,support@zbahis.com,contact page,Galactic Infinity Ltd,ALSI-202511048-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,spinman.com,Spinman,support@spinman.com,affiliate page,Fortuna Digital Solutions FDS Limitada,ALSI-202509068-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,partybet.ai,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,partybet.casino,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,partybet.fun,Partybet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,partybet.social,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,partybet.bot,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,partybet.win,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bizbet.mobi,BizBet Africa,support-en@africa-bizbet.com,contact page,Gameway Global LLC,ALSI-202511025-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bizbet-biz.com,Bizbet Biz,support-en@bizbet-biz.com,contact page,Gameway Global LLC,ALSI-202511025-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,africa-bizbet.com,BizBet Africa,support-en@africa-bizbet.com,contact page,Gameway Global LLC,ALSI-202511025-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,evetabi.com,EvetAbi,info@evetabi.com,affiliate page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,letou.com,Letou,cs@letou.com,affiliate page,RegalTech Solutions Limitada,ALSI-202602046-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,lt.com,Lt,cs@letou.com,affiliate page,RegalTech Solutions Limitada,ALSI-202602046-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,afrislots.net,AfriSlots,legal@afrislots.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,gbetplay.net,Gbet,abuse@gbetplay.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,ganamega.net,GanaMega,support@ganamega.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,elvisluck.net,ElvisLuck,hello@elvisluck.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,vegazcasino.com,vegazcasino,info@affpartnergroup.com,affiliate page,MOONSEEKER SRL,ALSI-202509006-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,volacasino.com,Vola,info@volacasino.com,affiliate page,Nowplatform Ltd.,ALSI-202509021-Fll,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bhaicasino.com,BhaiCasino,support@bhaicasino.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bluebetz.com,Bluebetz,support@bluebetz.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,cwinz.com,Cwinz,support@cwinz.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,jokertipp.com,Joker Tipp,support@jokertipp.com,contact page,Mirella Ltd,ALSI-202509009-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,kirabet.com,Kira.Bet,info@kirabet.com,affiliate page,Arkevia Group Ltd,ALSI-202510025-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,molcasino.com,Mol,info@molcasino.com,affiliate page,Arkevia Group Ltd,ALSI-202510025-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,tomi.club,Tomi,info@tomi.club,affiliate page,Arkevia Group Ltd,ALSI-202510025-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,twixos.com,Twixos,privacy@twixos.com,contact page,Global Score Ltd,ALSI-202509002-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,cooked.com,Cooked,support@cooked.com,affiliate page,Digital Chain Ventures SRL,ALSI-202509004-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,j8de.io,J8DE,support@j8de.io,affiliate page,3-102-937610 SRL,ALSI-202510054-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,kush.casino,Kush,support@kush.casino,contact page,3-102-937610 SRL,ALSI-202510054-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,blockdag.co,BlockDAG,commercials@blockdag.co,affiliate page,3-102-946540 SRL,ALSI-202511024-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,luckyclash.io,Early Access,info@luckyclash.info,affiliate page,Prime Entertainment Ltd,ALSI-202603032-FI1,,2027-03-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,fenixbet.online,FenixBet,support@fenixbet.online,contact page,Spiritus Limited,ALSI-202603056-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,orowin.bet,Orowin,support@orowin.bet,contact page,Win Vision N.V.,ALSI-202605001-FI1,,2027-05-07,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,sikkaro.bet,Sikkarobet,support@sikkaro.bet,contact page,Win Vision N.V.,ALSI-202605001-FI1,,2027-05-07,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,funbet888.me,Funbet,reach.us@funbet.me,affiliate page,3-102-938581 Limitada,ALSI-202508066-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,funbet.me,Funbet,reach.us@funbet.me,affiliate page,3-102-938581 Limitada,ALSI-202508066-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,grizzly.online,Grizzly,affiliate@grizzly.bingo,affiliate page,GC Service Group Ltd,ALSI-202508052-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,grizzly.win,Grizzly,affiliate@grizzly.bingo,affiliate page,GC Service Group Ltd,ALSI-202508052-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,369wins.com,369Wins,support@369wins.com,affiliate page,Anzal Ltd,ALSI-202510004-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,gold24x7.com,Gold,admin@gold.casino,affiliate page,3-102-944744 SRL,ALSI-202510061-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,playbet.io,Playbet,info@playbet.io,affiliate page,Aurevia Digital Ventures Ltd,ALSI-202510058-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,getwin.online,Getwin,support@getwin.online,affiliate page,3-102-945845 SRL,ALSI-202511035-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,fortislots.com,Fortislots,support@fortislots.com,affiliate page,3-102-945845 SRL,ALSI-202511035-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,pro11casino.com,Pro11casino,support@pro11casino.com,affiliate page,3-102-947393 SRL,ALSI-202511030-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,aryanbet.com,Aryanbet,info@aryanbet.com,affiliate page,3-102-946386 SRL,ALSI-202512003-FI1,,2026-12-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,drazzewin.com,Drazze,partners@drazze.casino,affiliate page,Drazze Limited,ALSI-202512040-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,drazze.casino,Drazze,partners@drazze.casino,affiliate page,Drazze Limited,ALSI-202512040-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,roulobets.com,Roulo,support@roulo.gg,affiliate page,Roulo Interactive Games LLC,ALSI-202602053-FI2,,2027-02-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bet808.com,Bet808,support@bet808.com,affiliate page,Play Fortune Entertainment Ltd,ALSI-202603053-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,gamblit.net,Gamblit,support@gamblit.net,affiliate page,3-102-954785 LIMITADA,ALSI-202604028-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,
