rank,domain,score,headline,brand,operator,source
1,luckybet.co,17,"20 request(s) fail on the homepage, on a third-party host — the fix belongs to their platform vendor",LuckyBet,LBC Enterprises B.V.,curacao
2,donebets.com,16,"11 request(s) fail on the homepage, on their own domain",Loading,3-102-952932 SRL,anjouan
3,metaigaming.io,16,"20 request(s) fail on the homepage, on their own domain",Meta System,Middle Kang B.V.,curacao
4,parolambet.com,16,"10 request(s) fail on the homepage, on their own domain",Loading,3-102-952932 SRL,anjouan
5,jurassino.com,15,"6 request(s) fail on the homepage, on their own domain",jurassino,GTW B.V.,curacao
6,casshiva.com,14,"5 request(s) fail on the homepage, on their own domain",Loading,3-102-952932 SRL,anjouan
7,sporttyp.com,13,"4 request(s) fail on the homepage, on their own domain",Sporttyp,Delphin Blue Ocean B.V.,curacao
8,xtp.com,13,"20 request(s) fail on the homepage, on a third-party host — the fix belongs to their platform vendor",XTP,Entretenimiento Rojo B.V.,curacao
9,auro777.win,12,"3 request(s) fail on the homepage, 2 on their own domain, 1 on a third-party host",auro,Mirth B.V.,curacao
10,cm88.com,12,"3 request(s) fail on the homepage, 1 on their own domain, 2 on a third-party host",CM88,Cyber Labs B.V.,curacao
11,coinebet.com,12,"3 request(s) fail on the homepage, on their own domain",coinebet,Rail Solutions Group B.V.,curacao
12,godbunny.com,12,"20 request(s) fail on the homepage, 1 on their own domain, 19 on a third-party host",GodBunny,Godbunny B.V.,curacao
13,sc88.co,12,"3 request(s) fail on the homepage, 1 on their own domain, 2 on a third-party host",SC88,Cyber Labs B.V.,curacao
14,tomcasino.net,12,"20 request(s) fail on the homepage, on their own domain",Tomcasino,3-102-941391 SRL,anjouan
15,10x10.bet,11,"6 request(s) fail on the homepage, on their own domain",Home,Normanhouse LTD,anjouan
16,bm.bet,11,"2 request(s) fail on the homepage, on their own domain",Bm.bet,FairGame G.P. N.V.,curacao
17,chokwin.com,11,"2 request(s) fail on the homepage, on their own domain",chokwin,Rail Solutions Group B.V.,curacao
18,fgfox.com,11,"2 request(s) fail on the homepage, on their own domain",fgfox,FairGame G.P. N.V.,curacao
19,unlimited.bet,11,"2 request(s) fail on the homepage, on their own domain",UnlimitedBet,NovaWave Technology N.V.,curacao
20,vespercasino.com,11,"2 request(s) fail on the homepage, on their own domain",Vesper,FairGame G.P. N.V.,curacao
21,789bet.sc,10,a single 261.2MB media file loads on the homepage,789BET,Cyber Labs B.V.,curacao
