tier,domain,brand,email,email_source,affiliate_url,affiliate_platform,operator,licence,expiry,vendors,regulator_seal,provider_count,sibling_brands,status,contacted_on
A,zlot.com,Zlot,marketing@zlot.com,contact page,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,gamecheck,yes,0,otobet.com slotin.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
A,bet10bet.com,Bet10bet,info@bet10bet.com,affiliate page,https://bet10bet.com/affiliates,,Riotorto Digital LTD,ALSI-202601035-FI1,2027-01-14,licenseseal,yes,0,betticket.com grandbetting.com queenbet.com betlike.com,DRAFT ONLY — NOT SENT,
A,pk8.com,Poker King,rakesh.sharma@a5labs.co,contact page,,,High Gaming IT Services Limited,ALSI-202603023-FI1,2027-03-13,gaminglabs,no,0,bahizz.com wpk.com wepoker.com,DRAFT ONLY — NOT SENT,
A,yasalbahis.com,Yasalbahis,info@yasalbahis.com,affiliate page,https://yasalbahis.com/affiliate,,Nowplatform Ltd.,ALSI-202509021-Fll,2026-09-15,gamecheck,yes,23,meritwin.com volacasino.com haydicasino.com,DRAFT ONLY — NOT SENT,
A,narniumcasino.com,NarniumCasino,support@narniumcasino.com,contact page,,,Narnium Solutions Ltd,ALSI-202511055-FI2,2026-11-29,"askgamblers, casinoguru, gaminglabs, gli, trustpilot",yes,19,narniaslots.com narniumslots.com,DRAFT ONLY — NOT SENT,
A,narniaslots.com,NarniaSlots,support@narniaslots.com,contact page,,,Narnium Solutions Ltd,ALSI-202511055-FI2,2026-11-29,"askgamblers, casinoguru, gaminglabs, gli, trustpilot",yes,18,narniumcasino.com narniumslots.com,DRAFT ONLY — NOT SENT,
A,narniumslots.com,NarniumSlots,support@narniumslots.com,contact page,,,Narnium Solutions Ltd,ALSI-202511055-FI2,2026-11-29,"askgamblers, casinoguru, gaminglabs, gli, trustpilot",yes,19,narniumcasino.com narniaslots.com,DRAFT ONLY — NOT SENT,
A,fatbets.com,Gamdom,support@gamdom.com,affiliate page,https://fatbets.com/affiliates/,,Fatbets Ltd,ALSI-202508054-FI2,2026-08-28,"gamecheck, trustpilot",no,13,,DRAFT ONLY — NOT SENT,
A,raize.poker,RAIZE,hey@raize.poker,contact page,,,3-102-943085 SRL,ALSI-202511038-FI2,2026-11-30,gli,yes,0,,DRAFT ONLY — NOT SENT,
A,slotin.com,Slotin,,,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,gamecheck,yes,0,zlot.com otobet.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
A,baywin.com,Baywin,,,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,gamecheck,no,7,zlot.com otobet.com slotin.com betewin.com betpublic.com starzbet.com bycasino.com luxslot.com betira.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
A,maltcasino.com,MaltCasino,,,,,Fortuna Digital Solutions FDS Limitada,ALSI-202509068-FI2,2026-09-29,gamecheck,yes,12,yekbet.com ikasbet.com asyabahis.com dumanbet.com olabahis.com pinbahis.com spinman.com,DRAFT ONLY — NOT SENT,
A,pinbahis.com,Pinbahis,,,,,Fortuna Digital Solutions FDS Limitada,ALSI-202509068-FI2,2026-09-29,gamecheck,yes,2,yekbet.com ikasbet.com asyabahis.com dumanbet.com maltcasino.com olabahis.com spinman.com,DRAFT ONLY — NOT SENT,
A,tipobet.com,Tipobet Adresi,,,,,Galactic Infinity Ltd,ALSI-202511048-FI2,2026-11-29,gamecheck,yes,0,matadorbet.com zbahis.com fixbet.com bahis.com tipobet365.com sahabet.com betturkey.com,DRAFT ONLY — NOT SENT,
A,u2is.tech,U2IS,,,,,U2IS Limited,ALSI-202601056-FI2,2027-01-30,bmmtest,yes,13,gbjp.fun hana.asia longtian.bet a1slot.net oncasi.com winpeso.asia,DRAFT ONLY — NOT SENT,
A,voodoo.casino,Voodoo,,,,,Novatrix SRL,ALSI-202508056-FI2,2026-08-24,"askgamblers, dlagglobal",no,21,levelupcasino.com spinsamurai.com betibet.com 21bit.com,DRAFT ONLY — NOT SENT,
A,betticket.com,Betticket,,,,,Riotorto Digital LTD,ALSI-202601035-FI1,2027-01-14,licenseseal,yes,0,bet10bet.com grandbetting.com queenbet.com betlike.com,DRAFT ONLY — NOT SENT,
