operator,brands,contact_email,reachable,flagship_brand,flagship_site,newest_licence,name_is_reg_number,all_domains,status,contacted_on,notes
3-102-940828 SRL,27,support@wgcasino.email,yes,WG Casino,https://wgcasino.best,2025-10-29,yes,wgcasino.best dailyluck.com admiralshark.best casigood.best casiroom.best chillireels.best clockfortune.best euphoriawins.best fancyreels.best fruitychance.best jimmywinner.best lbspins.best magicreels.best maximumcasino.best misterxcasino.best orionspins.best papayawins.best professorwins.best shinyjoker.best slotsshine.best slotsmuse.best spinmywin.best triumphcasino.best twinkywin.best voodoowins.best windiggers.best yetiwin.best,not contacted,,
Win Top Ltd,18,,no,Forbidden,https://duffspin.com,2025-09-16,no,duffspin.com zombillion.com garrisonbet.com unlimluck.com spinathlon.com daytonaspin.com bananzia.com luckycrew.com hahaspin.com spinpolo.com winwinter.com heavybet.com woolbet.com spinformula.com nightluck.com villaspin.com betmica.com tweedbet.com,not contacted,,
Obsidian Titan Limited,15,marketing@zlot.com,yes,Zlot,https://zlot.com,2026-02-28,no,zlot.com otobet.com slotin.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com ligobet.com solobet.com dodobet.com,not contacted,,
Galactic Infinity Ltd,8,destek@matadorbet.com,yes,Matadorbet ⚡️ Matadorbet Giriş 2026 ⚡️,https://matadorbet.com,2025-11-30,no,matadorbet.com zbahis.com fixbet.com bahis.com tipobet365.com sahabet.com betturkey.com tipobet.com,not contacted,,
Fortuna Digital Solutions FDS Limitada,8,,no,Yekbet,https://yekbet.com,2025-09-30,no,yekbet.com ikasbet.com asyabahis.com dumanbet.com maltcasino.com olabahis.com pinbahis.com spinman.com,not contacted,,
On Read SRL,7,,no,PartyBet,https://partybet.ai,2025-08-29,no,partybet.ai partybet.app partybet.bot partybet.casino partybet.fun partybet.social partybet.win,not contacted,,
Sphynx Solutions Inc,7,,no,Bahismosco9999,https://bahismosco9999.com,2026-01-31,no,bahismosco9999.com bonitabet9999.com gangbahis9999.com kazanla9999.com tronbet9999.com ruletin9999.com 1hitbet9999.com,not contacted,,
U2IS Limited,7,,no,Gbjp,https://gbjp.fun,2026-01-31,no,gbjp.fun hana.asia longtian.bet a1slot.net oncasi.com u2is.tech winpeso.asia,not contacted,,
Gameway Global LLC,6,support-en@africa-bizbet.com,yes,BizBet Africa Official Website,https://africa-bizbet.com,2025-11-30,no,africa-bizbet.com bizbet.mobi bizbet-biz.com bizbet.io mn-bizbet.io bizbet-au.com,not contacted,,
Wild Blackfin Limited SRL,6,,no,ArtCasino.io,https://artcasino.io,2026-01-31,no,artcasino.io betcrush.com casinoorca.com wett-bet.com lumibet.com winspin.ai,not contacted,,
Novatrix SRL,5,support@levelupcasino.com,yes,LevelUp Casino,https://levelupcasino.com,2025-08-25,no,levelupcasino.com spinsamurai.com betibet.com voodoo.casino 21bit.com,not contacted,,
Mistletoe Ltd,5,affiliate@levabet.com,yes,LevaBet,https://levabet.com,2025-08-29,no,levabet.com matixbet.com betpir.com kuzeycasino.com evetabi.com,not contacted,,
Riotorto Digital LTD,5,,no,Betting website,https://betticket.com,2026-01-15,no,betticket.com bet10bet.com grandbetting.com queenbet.com betlike.com,not contacted,,
RegalTech Solutions Limitada,5,,no,Howzit.com,https://howzitcasino.com,2026-02-28,no,howzitcasino.com lt.com letou.com mrcat.com vwin.com,not contacted,,
Maltech Ltd,5,,no,Betixir,https://betixir.com,2026-03-14,no,betixir.com capitolbet.com trendbet.com taksimbet.com parobet.com,not contacted,,
Juicecraft Limited,4,abuse@gbetplay.net,yes,Gbet Casino,https://gbetplay.net,2025-11-15,no,gbetplay.net afrislots.net elvisluck.net ganamega.net,not contacted,,
Real Tech Ltd,4,support@ustabet.com,yes,...,https://ustabet.com,2026-01-15,no,ustabet.com betmarino.com avrupabet.com rekorbet.com,not contacted,,
High Gaming IT Services Limited,4,rakesh.sharma@a5labs.co,yes,Poker King,https://pk8.com,2026-03-14,no,pk8.com bahizz.com wpk.com wepoker.com,not contacted,,
3-102-937046 SRL,4,,no,CryptoBoss,https://cryptobosscasino.com,2025-09-16,yes,cryptobosscasino.com unlimcasino.com casinohype.com aufcasino.com,not contacted,,
International Radical Investment Ltd,4,,no,Betphoenix,https://betphoenix.ag,2025-09-16,no,betphoenix.ag bogartcasino.ag skybook.ag betmania.ag,not contacted,,
MOONSEEKER SRL,4,,no,winbitcasino,https://winbitcasino.com,2025-09-16,no,winbitcasino.com vegazcasino.com mondcasino.com casinostars.io,not contacted,,
Nowplatform Ltd.,4,,no,Meritwin,https://meritwin.com,2025-09-16,no,meritwin.com yasalbahis.com volacasino.com haydicasino.com,not contacted,,
Capitanos Games Ltd,4,,no,Betbeto,https://betbeto.com,2025-09-30,no,betbeto.com bhaicasino.com cwinz.com bluebetz.com,not contacted,,
Ay Information Technology LTD,4,,no,MajorX,https://majorx.game,2025-11-15,no,majorx.game minorx.game grandx.game minix.game,not contacted,,
3-102-952681 SRL,4,,no,Celtabet Türkiye,https://celtabet.com,2026-03-14,yes,celtabet.com zumabet.com lord.casino parmabet.com,not contacted,,
Mirella Ltd,3,support@jokertipp.com,yes,Joker Tipp Casino,https://jokertipp.com,2025-09-16,no,jokertipp.com altaris.casino sierra.casino,not contacted,,
Narnium Solutions Ltd,3,support@narniumcasino.com,yes,NarniumCasino,https://narniumcasino.com,2025-11-30,no,narniumcasino.com narniaslots.com narniumslots.com,not contacted,,
Fortune HUB OÜ,3,support@fortunehub.io,yes,Fortune HUB,https://fortunehub.io,2025-12-22,no,fortunehub.io trc20play.com erc20play.com,not contacted,,
Vesaro Limited,3,support@betsmove.com,yes,Betsmove,https://betsmove.com,2026-04-29,no,betsmove.com matbet.com elitcasino.com,not contacted,,
Kitsilano Limitada,3,,no,Games,https://betanic.com,2025-08-29,no,betanic.com sportsduel.com squadduel.com,not contacted,,
QuestJack Ltd,3,,no,Questjack,https://questjack.com,2025-08-29,no,questjack.com tibiablackjack.com tibiadice.com,not contacted,,
Arkevia Group Ltd,3,,no,Kira.Bet,https://kirabet.com,2025-10-16,no,kirabet.com molcasino.com tomi.club,not contacted,,
Evoluxia Limitada,3,,no,ElipsBet,https://elipsbet.com,2025-10-16,no,elipsbet.com jupitercryptox.com olipsbet.com,not contacted,,
Lunex LLC,3,,no,Luckypari,https://luckypari.org,2025-10-16,no,luckypari.org luckypari.com luckypari.net,not contacted,,
Pacific Odds SRL,3,,no,Ebete,https://ebete.com,2025-10-16,no,ebete.com freespinz.com freespinz.casino,not contacted,,
3-102-942786 SRL,3,,no,SSExchange,https://ssplaywin.club,2025-12-01,yes,ssplaywin.club ssexch.io satfair.in,not contacted,,
3-102-949697 SRL,3,,no,Kavbet,https://kavbet.com,2026-02-16,yes,kavbet.com mavibet.com nakitbahis.com,not contacted,,
3-102-950476 LIMITADA,3,,no,Ampm,https://ampm.casino,2026-02-16,no,ampm.casino spingreen.casino tycoonwin.com,not contacted,,
Ingrex Tech LTD,3,,no,Kheli,https://kheli.bet,2026-02-28,no,kheli.bet xbagh.casino tengri.casino,not contacted,,
3-102-947593 SRL,3,,no,Hotslot Resmi Site,https://hotslot.com,2026-03-14,yes,hotslot.com egebet.com slotio.com,not contacted,,
3-102-952932 SRL,3,,no,Loading...,https://casshiva.com,2026-04-29,yes,casshiva.com parolambet.com donebets.com,not contacted,,
Digital Chain Ventures SRL,2,support@cooked.com,yes,Cooked Casino,https://cooked.com,2025-09-16,no,cooked.com cryptogaming.com,not contacted,,
Global Score Ltd,2,privacy@twixos.com,yes,Twixos,https://twixos.com,2025-09-16,no,twixos.com vexlbet.com,not contacted,,
Anzal Ltd,2,info@betfal.com,yes,Home,https://betfal.com,2025-10-16,no,betfal.com 369wins.com,not contacted,,
CONDOOR V.P. LIMITED,2,support@mangodorado.com,yes,...,https://caposino.com,2025-10-16,no,caposino.com g4mbit.com,not contacted,,
3-102-937610 SRL,2,support@j8de.io,yes,J8DE,https://j8de.io,2025-10-29,yes,j8de.io kush.casino,not contacted,,
3-102-946540 SRL,2,complaints@blockdag.co,yes,BlockDAG,https://blockdag.co,2025-11-30,yes,blockdag.co huhubet.com,not contacted,,
IsleSoft Lab Ltd.,2,info@slotbaba.com,yes,Slotbaba Official,https://slotbaba.com,2026-01-15,no,slotbaba.com spinrain.com,not contacted,,
Prime Entertainment Ltd,2,info@luckyclash.info,yes,Early Access,https://luckyclash.io,2026-03-16,no,luckyclash.io pr1mebet.com,not contacted,,
Spiritus Limited,2,support@oxy.casino,yes,OXY,https://oxy.casino,2026-03-31,no,oxy.casino fenixbet.online,not contacted,,
Anklebone Limited,2,service@dustbet.io,yes,DustBet<!,https://dustbet.io,2026-04-22,no,dustbet.io anklebone.io,not contacted,,
Win Vision N.V.,2,support@orowin.bet,yes,Orowin Casino,https://orowin.bet,2026-05-08,no,orowin.bet sikkaro.bet,not contacted,,
88gaming B.V.,2,,no,80벳,https://80bet.com,2025-08-20,no,80bet.com bet16.com,not contacted,,
3-102-938581 Limitada,2,,no,Funbet,https://funbet888.me,2025-08-29,no,funbet888.me funbet.me,not contacted,,
