brand,domain,site,operator,licence,issued,expiry,already_listed,contact_url_guess,contact_email,status,contacted_on,notes
Coin88,coin88.io,https://coin88.io,3-102-944439 SRL,ALSI-202607032-FI2,2026-07-31,2027-07-30,yes,https://coin88.io/contact,,not contacted,,
Fairmatch,fairmatch.us,https://fairmatch.us,3-102-951548 SRL,ALSI-202607033-FI2,2026-07-31,2027-07-30,yes,https://fairmatch.us/contact,,not contacted,,
Lottosway,lottosway.com,https://lottosway.com,3-102-953460 SRL,ALSI-202607034-FI2,2026-07-31,2027-07-30,yes,https://lottosway.com/contact,,not contacted,,
Spinbetter,spinbetter.com,https://spinbetter.com,3-102-955890 LIMITADA,ALSI-202607036-FI2,2026-07-31,2027-07-30,yes,https://spinbetter.com/contact,,not contacted,,
Lionluck,lionluck.casino,https://lionluck.casino,3-102-961212 SRL,ALSI-202607037-FI2,2026-07-31,2027-07-30,yes,https://lionluck.casino/contact,,not contacted,,
Orionsfortune,orionsfortune.com,https://orionsfortune.com,3-102-962044 SRL,ALSI-202607038-FI2,2026-07-31,2027-07-30,yes,https://orionsfortune.com/contact,,not contacted,,
Orionsfortune,orionsfortune.casino,https://orionsfortune.casino,3-102-962044 SRL,ALSI-202607038-FI2,2026-07-31,2027-07-30,yes,https://orionsfortune.casino/contact,,not contacted,,
Luckybit,luckybit.com,https://luckybit.com,3-102-963341 SRL,ALSI-202607039-FI2,2026-07-31,2027-07-30,yes,https://luckybit.com/contact,,not contacted,,
Gannar,gannar.com,https://gannar.com,3-102-964320 SRL,ALSI-202607040-FI2,2026-07-31,2027-07-30,yes,https://gannar.com/contact,,not contacted,,
Slotoy,slotoy.com,https://slotoy.com,IMPECCASOFT LTD,ALSI-202607046-FI2,2026-07-31,2027-07-30,yes,https://slotoy.com/contact,,not contacted,,
Acrpoker,acrpoker.eu,https://acrpoker.eu,International Processing Services SA,ALSI-202607066-FI2,2026-07-31,2027-07-30,yes,https://acrpoker.eu/contact,,not contacted,,
Betacr,betacr.eu,https://betacr.eu,International Processing Services SA,ALSI-202607066-FI2,2026-07-31,2027-07-30,yes,https://betacr.eu/contact,,not contacted,,
Blackchippoker,blackchippoker.io,https://blackchippoker.io,International Processing Services SA,ALSI-202607066-FI2,2026-07-31,2027-07-30,yes,https://blackchippoker.io/contact,,not contacted,,
Truepoker,truepoker.eu,https://truepoker.eu,International Processing Services SA,ALSI-202607066-FI2,2026-07-31,2027-07-30,yes,https://truepoker.eu/contact,,not contacted,,
Yapoker,yapoker.com,https://yapoker.com,International Processing Services SA,ALSI-202607066-FI2,2026-07-31,2027-07-30,yes,https://yapoker.com/contact,,not contacted,,
Redstone777,redstone777.com,https://redstone777.com,Redstone 22 Ltd,ALSI-202607050-FI2,2026-07-31,2027-07-30,yes,https://redstone777.com/contact,,not contacted,,
Stoked,stoked.bet,https://stoked.bet,S22 Holdings Corporation,ALSI-202607051-FI2,2026-07-31,2027-07-30,yes,https://stoked.bet/contact,,not contacted,,
Onda Bet,onda-bet.com,https://onda-bet.com,Solenmist Corp,ALSI-202607053-FI2,2026-07-31,2027-07-30,yes,https://onda-bet.com/contact,,not contacted,,
Onda,onda.bet,https://onda.bet,Solenmist Corp,ALSI-202607053-FI2,2026-07-31,2027-07-30,yes,https://onda.bet/contact,,not contacted,,
Winigreat,winigreat.com,https://winigreat.com,VinniGreat Limited,ALSI-202607054-FI2,2026-07-31,2027-07-30,yes,https://winigreat.com/contact,,not contacted,,
Legendz,legendz.io,https://legendz.io,3-102-936132 SRL,ALSI-202607001-FI1,2026-07-15,2027-07-14,yes,https://legendz.io/contact,,not contacted,,
Betpositivo,betpositivo.com,https://betpositivo.com,3-102-947340 SRL,ALSI-202607003-FI1,2026-07-15,2027-07-14,yes,https://betpositivo.com/contact,,not contacted,,
Magicmarkets,magicmarkets.com,https://magicmarkets.com,3-102-947650 SRL,ALSI-202607031-FI1,2026-07-15,2027-07-14,yes,https://magicmarkets.com/contact,,not contacted,,
Rivertidecasino,rivertidecasino.com,https://rivertidecasino.com,3-102-949728 SRL,ALSI-202607004-FI1,2026-07-15,2027-07-14,yes,https://rivertidecasino.com/contact,,not contacted,,
Spartaspins,spartaspins.com,https://spartaspins.com,3-102-950573 SRL,ALSI-202607005-FI1,2026-07-15,2027-07-14,yes,https://spartaspins.com/contact,,not contacted,,
Crypto Backgammon,crypto-backgammon.online,https://crypto-backgammon.online,3-102-957650 SRL,ALSI-202607006-FI1,2026-07-15,2027-07-14,yes,https://crypto-backgammon.online/contact,,not contacted,,
Luckyriches,luckyriches.com,https://luckyriches.com,3-102-959342 SRL,ALSI-202607007-FI1,2026-07-15,2027-07-14,yes,https://luckyriches.com/contact,,not contacted,,
Winnowlotto,winnowlotto.com,https://winnowlotto.com,3-102-959952 SRL,ALSI-202607008-FI1,2026-07-15,2027-07-14,yes,https://winnowlotto.com/contact,,not contacted,,
Highstack,highstack.com,https://highstack.com,3-102-960819 SRL,ALSI-202607009-FI1,2026-07-15,2027-07-14,yes,https://highstack.com/contact,,not contacted,,
Tuplaa,tuplaa.com,https://tuplaa.com,3-102-962728 SRL,ALSI-202607010-FI1,2026-07-15,2027-07-14,yes,https://tuplaa.com/contact,,not contacted,,
Pelaa,pelaa.io,https://pelaa.io,3-102-962728 SRL,ALSI-202607010-FI1,2026-07-15,2027-07-14,yes,https://pelaa.io/contact,,not contacted,,
Trevolbet,trevolbet.mx,https://trevolbet.mx,3-102-962962 SRL,ALSI-202607011-FI1,2026-07-15,2027-07-14,yes,https://trevolbet.mx/contact,,not contacted,,
Trevol,trevol.bet,https://trevol.bet,3-102-962962 SRL,ALSI-202607011-FI1,2026-07-15,2027-07-14,yes,https://trevol.bet/contact,,not contacted,,
Iqpokies,iqpokies.com,https://iqpokies.com,3-102-964836 SRL,ALSI-202607013-FI1,2026-07-15,2027-07-14,yes,https://iqpokies.com/contact,,not contacted,,
Bobercasino,bobercasino.com,https://bobercasino.com,3-102-964836 SRL,ALSI-202607013-FI1,2026-07-15,2027-07-14,yes,https://bobercasino.com/contact,,not contacted,,
Fungabet,fungabet.com,https://fungabet.com,3-102-965384 Limitada,ALSI-202607014-FI1,2026-07-15,2027-07-14,yes,https://fungabet.com/contact,,not contacted,,
Gansobet,gansobet.com,https://gansobet.com,3-102-965760 SRL,ALSI-202607016-FI1,2026-07-15,2027-07-14,yes,https://gansobet.com/contact,,not contacted,,
Ganso,ganso.bet,https://ganso.bet,3-102-965760 SRL,ALSI-202607016-FI1,2026-07-15,2027-07-14,yes,https://ganso.bet/contact,,not contacted,,
Gansowin,gansowin.com,https://gansowin.com,3-102-965760 SRL,ALSI-202607016-FI1,2026-07-15,2027-07-14,yes,https://gansowin.com/contact,,not contacted,,
Joi Rush,joi-rush.com,https://joi-rush.com,JRB Solutions Limited,ALSI-202607021-FI1,2026-07-15,2027-07-14,yes,https://joi-rush.com/contact,,not contacted,,
Stellacasino,stellacasino.online,https://stellacasino.online,Kaveh Ltd,ALSI-202607022-FI1,2026-07-15,2027-07-14,yes,https://stellacasino.online/contact,,not contacted,,
Stellacasino,stellacasino.com,https://stellacasino.com,Kaveh Ltd,ALSI-202607022-FI1,2026-07-15,2027-07-14,yes,https://stellacasino.com/contact,,not contacted,,
Swoobz,swoobz.com,https://swoobz.com,Knaack LLC,ALSI-202607023-FI1,2026-07-15,2027-07-14,yes,https://swoobz.com/contact,,not contacted,,
Shaftkings,shaftkings.gg,https://shaftkings.gg,Maximumedge LLC,ALSI-202607024-FI1,2026-07-15,2027-07-14,yes,https://shaftkings.gg/contact,,not contacted,,
Chocospin,chocospin.com,https://chocospin.com,Orion Edge SRL,ALSI-202607025-FI1,2026-07-15,2027-07-14,yes,https://chocospin.com/contact,,not contacted,,
Totemcasino,totemcasino.com,https://totemcasino.com,Rastech Ltd,ALSI-202607026-FI1,2026-07-15,2027-07-14,yes,https://totemcasino.com/contact,,not contacted,,
Rastgele,rastgele.com,https://rastgele.com,Rastech Ltd,ALSI-202607026-FI1,2026-07-15,2027-07-14,yes,https://rastgele.com/contact,,not contacted,,
Travelodds,travelodds.com,https://travelodds.com,TRAVEL ODDS INTERNATIONAL LIMITED,ALSI-202607028-FI1,2026-07-15,2027-07-14,yes,https://travelodds.com/contact,,not contacted,,
Luckylime,luckylime.net,https://luckylime.net,TRAVEL ODDS INTERNATIONAL LIMITED,ALSI-202607028-FI1,2026-07-15,2027-07-14,yes,https://luckylime.net/contact,,not contacted,,
Champagnebets,champagnebets.com,https://champagnebets.com,TRAVEL ODDS INTERNATIONAL LIMITED,ALSI-202607028-FI1,2026-07-15,2027-07-14,yes,https://champagnebets.com/contact,,not contacted,,
Kizzy,kizzy.io,https://kizzy.io,Vintaro Limited,ALSI-202607029-FI1,2026-07-15,2027-07-14,yes,https://kizzy.io/contact,,not contacted,,
Pasino,pasino.com,https://pasino.com,3-102-944648 SRL,ALSI-202606042-FI2,2026-06-30,2027-06-29,yes,https://pasino.com/contact,,not contacted,,
